"sampleID","cruise_number","month","year","station_code","net_type","sample_date","sample_time","dec_lat","dec_long","station_depth_m","transect_name","station_number","station","n_cr_s","day_night","X","Y","total_sum_of_final_carbon_mg_m3"
"CF01_1999-06-24",4,"June",1999,"062499CF01","Meter",1999-06-24,1899-12-31 07:45:00,45.73,-123.97,27.432,"Cape Falcon",1,"CF01","CR","D",424.526251042819,5064.50684483418,0.000412003874783851
"CH02_2003-07-01",16,"June",2003,"070103CH02","Bongo",2003-07-01,1899-12-31 09:08:00,45.05,-124.07,56,"Cascade Head",2,"CH02","S","D",415.741012509929,4989.06163856916,0
"CH05_2001-06-30",10,"June",2001,"063001CH05","Bongo",2001-06-30,1899-12-31 10:10:00,45.05,-124.13,95,"Cascade Head",5,"CH05","S","D",411.01620957955,4989.12584390014,0
"CH05_2003-07-01",16,"June",2003,"070103CH05","Bongo",2003-07-01,1899-12-31 10:55:00,45.05,-124.13,93,"Cascade Head",5,"CH05","S","D",411.01620957955,4989.12584390014,0
"CH05_2004-06-28",20,"June",2004,"062804CH05","Bongo",2004-06-28,1899-12-31 11:19:00,45.05,-124.13,96,"Cascade Head",5,"CH05","S","D",411.01620957955,4989.12584390014,0.00345176161994977
"CH10_2001-06-30",10,"June",2001,"063001CH10","Bongo",2001-06-30,1899-12-31 12:18:00,45.05,-124.23,149,"Cascade Head",10,"CH10","S","D",403.141538087865,4989.24063740452,0
"CH10_2003-07-01",16,"June",2003,"070103CH10","Bongo",2003-07-01,1899-12-31 12:55:00,45.05,-124.23,144,"Cascade Head",10,"CH10","S","D",403.141538087865,4989.24063740452,0.00346827321854616
"CH10_2004-06-28",20,"June",2004,"062804CH10","Bongo",2004-06-28,1899-12-31 13:29:00,45.05,-124.23,149,"Cascade Head",10,"CH10","S","D",403.141538087865,4989.24063740452,0.00106488578822233
"CH15_2003-07-01",16,"June",2003,"070103CH15","Bongo",2003-07-01,1899-12-31 14:50:00,45.05,-124.34,203,"Cascade Head",15,"CH15","S","D",394.479399550228,4989.37815004186,0.000378555555691491
"CM01_1999-06-21",4,"June",1999,"062199CM01","Meter",1999-06-21,1899-12-31 07:47:00,45.48,-124,36.576,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0
"CM01_2000-06-19",7,"June",2000,"061900CM01D","Meter",2000-06-19,1899-12-31 08:19:00,45.48,-124,35,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0104247268801531
"CM01_2001-06-29",10,"June",2001,"062901CM01","Bongo",2001-06-29,1899-12-31 06:09:00,45.48,-124,34,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0
"CM01_2002-06-23",13,"June",2002,"062302CM01","Bongo",2002-06-23,1899-12-31 06:09:00,45.48,-124,29,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0
"CM01_2003-06-30",16,"June",2003,"063003CM01","Bongo",2003-06-30,1899-12-31 07:42:00,45.48,-124,35,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0
"CM01_2004-06-27",20,"June",2004,"062704CM01","Bongo",2004-06-27,1899-12-31 07:25:00,45.48,-124,31,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.00505946751232827
"CM01_2005-06-20",23,"June",2005,"062005CM01","Bongo",2005-06-20,1899-12-31 08:50:00,45.48,-124,28,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0
"CM01_2006-06-26",27,"June",2006,"062606CM01","Bongo",2006-06-26,1899-12-31 07:53:00,45.48,-124,27,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0442555172269864
"CM01_2007-06-27",30,"June",2007,"062707CM01","Bongo",2007-06-27,1899-12-31 07:37:00,45.48,-124,29.4,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.000142013119777373
"CM01_2008-06-28",33,"June",2008,"062808CM01","Bongo",2008-06-28,1899-12-31 07:41:00,45.48,-124,37,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.00338412777681262
"CM01_2009-06-29",36,"June",2009,"062909CM01","Bongo",2009-06-29,1899-12-31 07:29:00,45.48,-124,36,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0121266791247351
"CM01_2010-06-27",39,"June",2010,"062710CM01","Bongo",2010-06-27,1899-12-31 07:42:00,45.48,-124,34,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.00295206156685265
"CM01_2011-06-26",42,"June",2011,"062611CM01","Bongo",2011-06-26,1899-12-31 07:18:00,45.48,-124,34,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0123844673516788
"CM01_2012-06-27",46,"June",2012,"062712CM01","Bongo",2012-06-27,1899-12-31 07:08:00,45.48,-124,38,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.112543043422704
"CM01_2013-06-26",48,"June",2013,"062613CM01","Bongo",2013-06-26,1899-12-31 06:40:00,45.48,-124,40,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.000307274891864077
"CM01_2014-06-26",49,"June",2014,"062614CM01","Bongo",2014-06-26,1899-12-31 06:39:00,45.48,-124,30,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0
"CM01_2015-06-27",52,"June",2015,"062715CM01","Bongo",2015-06-27,1899-12-31 07:32:00,45.48,-124,36,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0473040808340801
"CM01_2016-06-28",55,"June",2016,"062816CM01","Bongo",2016-06-28,1899-12-31 07:40:00,45.48,-124,38,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.00430707392670806
"CM01_2017-06-27",57,"June",2017,"062717CM01","Bongo",2017-06-27,1899-12-31 07:31:00,45.48,-124,40,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0366686380481261
"CM01_2018-06-26",60,"June",2018,"062618CM01","Bongo",2018-06-26,1899-12-31 07:34:00,45.48,-124,29,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.602690788856399
"CM01_2019-06-26",62,"June",2019,"062619CM01","Bongo",2019-06-26,1899-12-31 07:25:00,45.48,-124,35,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.00850324937282822
"CM01_2020-06-26",63,"June",2020,"062620CM01","Bongo",2020-06-26,1899-12-31 06:39:00,45.48,-124,34,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0376578895837036
"CM01_2021-06-26",65,"June",2021,"062621CM01","Bongo",2021-06-26,1899-12-31 06:35:00,45.48,-124,28,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0840804520983844
"CM01_2022-06-26",67,"June",2022,"062622CM01","Bongo",2022-06-26,1899-12-31 07:28:00,45.48,-124,35,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0114129890500275
"CM01_2023-06-27",69,"June",2023,"062723CM01","Bongo",2023-06-27,1899-12-31 07:34:00,45.48,-124,32,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.156667341054222
"CM03_1999-06-21",4,"June",1999,"062199CM03","Meter",1999-06-21,1899-12-31 09:35:00,45.48,-124.03,58.5216,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0
