"sampleID","cruise_number","month","year","station_code","net_type","sample_date","sample_time","dec_lat","dec_long","station_depth_m","transect_name","station_number","station","n_cr_s","day_night","X","Y","total_sum_of_final_carbon_mg_m3"
"CM01_2004-06-27",20,"June",2004,"062704CM01","Bongo",2004-06-27,1899-12-31 07:25:00,45.48,-124,31,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.246678989031278
"CM01_2005-06-20",23,"June",2005,"062005CM01","Bongo",2005-06-20,1899-12-31 08:50:00,45.48,-124,28,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0358479734382765
"CM01_2006-06-26",27,"June",2006,"062606CM01","Bongo",2006-06-26,1899-12-31 07:53:00,45.48,-124,27,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.106222103593114
"CM01_2007-06-27",30,"June",2007,"062707CM01","Bongo",2007-06-27,1899-12-31 07:37:00,45.48,-124,29.4,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.161772802848038
"CM01_2008-06-28",33,"June",2008,"062808CM01","Bongo",2008-06-28,1899-12-31 07:41:00,45.48,-124,37,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0
"CM01_2009-06-29",36,"June",2009,"062909CM01","Bongo",2009-06-29,1899-12-31 07:29:00,45.48,-124,36,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0239339303414347
"CM01_2010-06-27",39,"June",2010,"062710CM01","Bongo",2010-06-27,1899-12-31 07:42:00,45.48,-124,34,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0
"CM01_2011-06-26",42,"June",2011,"062611CM01","Bongo",2011-06-26,1899-12-31 07:18:00,45.48,-124,34,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0
"CM01_2012-06-27",46,"June",2012,"062712CM01","Bongo",2012-06-27,1899-12-31 07:08:00,45.48,-124,38,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.161706421444477
"CM01_2013-06-26",48,"June",2013,"062613CM01","Bongo",2013-06-26,1899-12-31 06:40:00,45.48,-124,40,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.00590758251336306
"CM01_2014-06-26",49,"June",2014,"062614CM01","Bongo",2014-06-26,1899-12-31 06:39:00,45.48,-124,30,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0550583442099261
"CM01_2015-06-27",52,"June",2015,"062715CM01","Bongo",2015-06-27,1899-12-31 07:32:00,45.48,-124,36,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.119998705055493
"CM01_2016-06-28",55,"June",2016,"062816CM01","Bongo",2016-06-28,1899-12-31 07:40:00,45.48,-124,38,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0
"CM01_2017-06-27",57,"June",2017,"062717CM01","Bongo",2017-06-27,1899-12-31 07:31:00,45.48,-124,40,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.337463655588666
"CM01_2018-06-26",60,"June",2018,"062618CM01","Bongo",2018-06-26,1899-12-31 07:34:00,45.48,-124,29,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,60.7166046324203
"CM01_2019-06-26",62,"June",2019,"062619CM01","Bongo",2019-06-26,1899-12-31 07:25:00,45.48,-124,35,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.679771743530243
"CM01_2020-06-26",63,"June",2020,"062620CM01","Bongo",2020-06-26,1899-12-31 06:39:00,45.48,-124,34,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0915057639953391
"CM01_2021-06-26",65,"June",2021,"062621CM01","Bongo",2021-06-26,1899-12-31 06:35:00,45.48,-124,28,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.00813314766096212
"CM01_2022-06-26",67,"June",2022,"062622CM01","Bongo",2022-06-26,1899-12-31 07:28:00,45.48,-124,35,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.00645680201174544
"CM01_2023-06-27",69,"June",2023,"062723CM01","Bongo",2023-06-27,1899-12-31 07:34:00,45.48,-124,32,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0149514609581043
"CM03_1999-06-21",4,"June",1999,"062199CM03","Meter",1999-06-21,1899-12-31 09:35:00,45.48,-124.03,58.5216,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0
"CM03_2000-06-19",7,"June",2000,"061900CM03D","Meter",2000-06-19,1899-12-31 10:20:00,45.48,-124.03,47,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.0457675500299733
"CM03_2001-06-29",10,"June",2001,"062901CM03","Bongo",2001-06-29,1899-12-31 08:02:00,45.48,-124.03,60,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.0291192316096756
"CM03_2002-06-23",13,"June",2002,"062302CM03","Bongo",2002-06-23,1899-12-31 07:43:00,45.48,-124.03,52,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.0590012580588854
"CM03_2003-06-30",16,"June",2003,"063003CM03","Bongo",2003-06-30,1899-12-31 09:28:00,45.48,-124.03,55,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.0329306159605922
"CM03_2004-06-27",20,"June",2004,"062704CM03","Bongo",2004-06-27,1899-12-31 08:56:00,45.48,-124.03,58,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.129038482959469
"CM03_2005-06-20",23,"June",2005,"062005CM03","Bongo",2005-06-20,1899-12-31 09:31:00,45.48,-124.03,56,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.0111352898388691
"CM03_2006-06-26",27,"June",2006,"062606CM03","Bongo",2006-06-26,1899-12-31 09:33:00,45.48,-124.03,59,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.011172461128244
"CM03_2007-06-27",30,"June",2007,"062707CM03","Bongo",2007-06-27,1899-12-31 08:54:00,45.48,-124.03,55.6,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.00649582948033331
"CM03_2008-06-28",33,"June",2008,"062808CM03","Bongo",2008-06-28,1899-12-31 09:00:00,45.48,-124.03,58.8,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.15969047123012
"CM03_2009-06-29",36,"June",2009,"062909CM03","Bongo",2009-06-29,1899-12-31 09:10:00,45.48,-124.03,52,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0
"CM03_2010-06-27",39,"June",2010,"062710CM03","Bongo",2010-06-27,1899-12-31 09:13:00,45.48,-124.03,51,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0
"CM03_2011-06-26",42,"June",2011,"062611CM03","Bongo",2011-06-26,1899-12-31 08:55:00,45.48,-124.03,62,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.00637342680965457
"CM03_2012-06-27",46,"June",2012,"062712CM03","Bongo",2012-06-27,1899-12-31 08:52:00,45.48,-124.03,53,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.00699060350632819
"CM03_2013-06-26",48,"June",2013,"062613CM03","Bongo",2013-06-26,1899-12-31 08:46:00,45.48,-124.03,43,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.0177840888200193
"CM03_2014-06-26",49,"June",2014,"062614CM03","Bongo",2014-06-26,1899-12-31 08:14:00,45.48,-124.03,54,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.0153221870530791
"CM03_2015-06-27",52,"June",2015,"062715CM03","Bongo",2015-06-27,1899-12-31 09:21:00,45.48,-124.03,56,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.0412215930350544
"CM03_2016-06-28",55,"June",2016,"062816CM03","Bongo",2016-06-28,1899-12-31 09:31:00,45.48,-124.03,53,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.209031223741246
"CM03_2017-06-27",57,"June",2017,"062717CM03A","Bongo",2017-06-27,1899-12-31 09:05:00,45.48,-124.03,56,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.00331646282683425
"CM03_2018-06-26",60,"June",2018,"062618CM03","Bongo",2018-06-26,1899-12-31 09:04:00,45.48,-124.03,53,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.0532898347121979
"CM03_2019-06-26",62,"June",2019,"062619CM03A","Bongo",2019-06-26,1899-12-31 09:07:00,45.48,-124.03,57,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.00581345944774552
"CM03_2020-06-26",63,"June",2020,"062620CM03","Bongo",2020-06-26,1899-12-31 08:30:00,45.48,-124.03,60,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.0234971149557372
"CM03_2021-06-26",65,"June",2021,"062621CM03","Bongo",2021-06-26,1899-12-31 08:21:00,45.48,-124.03,55,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.0209621057403717
"CM03_2022-06-26",67,"June",2022,"062622CM03","Bongo",2022-06-26,1899-12-31 09:10:00,45.48,-124.03,49,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0
"CM03_2023-06-27",69,"June",2023,"062723CM03A","Bongo",2023-06-27,1899-12-31 09:03:00,45.48,-124.03,59,"Cape Meares",3,"CM03","S","D",419.500976444433,5036.79049742974,0.188634797730936
"CM05_2000-06-19",7,"June",2000,"061900CM05D","Meter",2000-06-19,1899-12-31 12:33:00,45.48,-124.09,78,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0.00274089753037773
"CM05_2001-06-29",10,"June",2001,"062901CM05","Bongo",2001-06-29,1899-12-31 09:52:00,45.48,-124.09,86,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0
"CM05_2002-06-23",13,"June",2002,"062302CM05","Bongo",2002-06-23,1899-12-31 09:24:00,45.48,-124.09,80,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0.00951661610403323
"CM05_2003-06-30",16,"June",2003,"063003CM05","Bongo",2003-06-30,1899-12-31 12:09:00,45.48,-124.09,77,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0.035810625462001
"CM05_2004-06-27",20,"June",2004,"062704CM05","Bongo",2004-06-27,1899-12-31 10:35:00,45.48,-124.09,81,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0.107882161937525
"CM05_2005-06-20",23,"June",2005,"062005CM05","Bongo",2005-06-20,1899-12-31 10:19:00,45.48,-124.09,84,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0
"CM05_2006-06-26",27,"June",2006,"062606CM05","Bongo",2006-06-26,1899-12-31 11:11:00,45.48,-124.09,83,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0.0145840698117116
"CM05_2007-06-27",30,"June",2007,"062707CM05","Bongo",2007-06-27,1899-12-31 10:39:00,45.48,-124.09,82.5,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0.00597043343834449
"CM05_2008-06-28",33,"June",2008,"062808CM05","Bongo",2008-06-28,1899-12-31 10:42:00,45.48,-124.09,85,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0.0040280782576731
"CM05_2009-06-29",36,"June",2009,"062909CM05","Bongo",2009-06-29,1899-12-31 11:00:00,45.48,-124.09,85,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0
"CM05_2010-06-27",39,"June",2010,"062710CM05","Bongo",2010-06-27,1899-12-31 11:00:00,45.48,-124.09,83,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0
"CM05_2011-06-26",42,"June",2011,"062611CM05","Bongo",2011-06-26,1899-12-31 10:42:00,45.48,-124.09,84,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0.00496550398588081
"CM05_2012-06-27",46,"June",2012,"062712CM05","Bongo",2012-06-27,1899-12-31 10:57:00,45.48,-124.09,87,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0
"CM05_2013-06-26",48,"June",2013,"062613CM05","Bongo",2013-06-26,1899-12-31 11:08:00,45.48,-124.09,84,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0
"CM05_2014-06-26",49,"June",2014,"062614CM05","Bongo",2014-06-26,1899-12-31 10:14:00,45.48,-124.09,84,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0
"CM05_2015-06-27",52,"June",2015,"062715CM05","Bongo",2015-06-27,1899-12-31 11:16:00,45.48,-124.09,82,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0.0339890385754422
"CM05_2016-06-28",55,"June",2016,"062816CM05","Bongo",2016-06-28,1899-12-31 11:40:00,45.48,-124.09,82,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0.00782412705099678
"CM05_2017-06-27",57,"June",2017,"062717CM05","Bongo",2017-06-27,1899-12-31 13:11:00,45.48,-124.09,84,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0.0721506596910222
"CM05_2018-06-26",60,"June",2018,"062618CM05","Bongo",2018-06-26,1899-12-31 10:44:00,45.48,-124.09,42,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0.0145645628349642
"CM05_2019-06-26",62,"June",2019,"062619CM05","Bongo",2019-06-26,1899-12-31 13:40:00,45.48,-124.09,82,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0.0119483407978522
"CM05_2020-06-26",63,"June",2020,"062620CM05","Bongo",2020-06-26,1899-12-31 10:36:00,45.48,-124.09,83,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0
"CM05_2021-06-26",65,"June",2021,"062621CM05","Bongo",2021-06-26,1899-12-31 10:05:00,45.48,-124.09,81,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0
"CM05_2022-06-26",67,"June",2022,"062622CM05","Bongo",2022-06-26,1899-12-31 11:05:00,45.48,-124.09,84,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0.0171464512518437
"CM05_2023-06-27",69,"June",2023,"062723CM05A","Bongo",2023-06-27,1899-12-31 12:09:00,45.48,-124.09,83,"Cape Meares",5,"CM05","S","D",414.811721315266,5036.85236028442,0.0237668997444185
"CM10_1999-06-21",4,"June",1999,"062199CM10","Meter",1999-06-21,1899-12-31 12:06:00,45.48,-124.2,135.3312,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0.00129428727482637
"CM10_2001-06-29",10,"June",2001,"062901CM10","Bongo",2001-06-29,1899-12-31 12:04:00,45.48,-124.2,136,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0
"CM10_2002-06-23",13,"June",2002,"062302CM10","Bongo",2002-06-23,1899-12-31 11:20:00,45.48,-124.2,132,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0
"CM10_2003-06-30",16,"June",2003,"063003CM10","Bongo",2003-06-30,1899-12-31 14:05:00,45.48,-124.2,131,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0.00168268357577802
"CM10_2004-06-27",20,"June",2004,"062704CM10","Bongo",2004-06-27,1899-12-31 13:46:00,45.48,-124.2,133,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0.0208346213920952
"CM10_2005-06-20",23,"June",2005,"062005CM10","Bongo",2005-06-20,1899-12-31 12:51:00,45.48,-124.2,135,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0
"CM10_2006-06-26",27,"June",2006,"062606CM10","Bongo",2006-06-26,1899-12-31 13:31:00,45.48,-124.2,133,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0
"CM10_2007-06-27",30,"June",2007,"062707CM10","Bongo",2007-06-27,1899-12-31 12:13:00,45.48,-124.2,134.2,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0.0124981424872825
"CM10_2008-06-28",33,"June",2008,"062808CM10","Bongo",2008-06-28,1899-12-31 13:08:00,45.48,-124.2,134.3,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0
"CM10_2009-06-29",36,"June",2009,"062909CM10","Bongo",2009-06-29,1899-12-31 13:12:00,45.48,-124.2,130,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0
"CM10_2010-06-27",39,"June",2010,"062710CM10","Bongo",2010-06-27,1899-12-31 13:12:00,45.48,-124.2,135,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0
"CM10_2011-06-26",42,"June",2011,"062611CM10","Bongo",2011-06-26,1899-12-31 12:16:00,45.48,-124.2,129,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0
"CM10_2012-06-27",46,"June",2012,"062712CM10","Bongo",2012-06-27,1899-12-31 13:20:00,45.48,-124.2,136,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0
"CM10_2013-06-26",48,"June",2013,"062613CM10","Bongo",2013-06-26,1899-12-31 13:59:00,45.48,-124.2,133,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0
"CM10_2014-06-26",49,"June",2014,"062614CM10","Bongo",2014-06-26,1899-12-31 12:13:00,45.48,-124.2,132,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0.0142984932162098
"CM10_2015-06-27",52,"June",2015,"062715CM10","Bongo",2015-06-27,1899-12-31 14:32:00,45.48,-124.2,133,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0
"CM10_2016-06-28",55,"June",2016,"062816CM10","Bongo",2016-06-28,1899-12-31 13:59:00,45.48,-124.2,133,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0.00415950969110381
"CM10_2017-06-27",57,"June",2017,"062717CM10","Bongo",2017-06-27,1899-12-31 16:50:00,45.48,-124.2,136,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0
"CM10_2018-06-26",60,"June",2018,"062618CM10A","Bongo",2018-06-26,1899-12-31 12:55:00,45.48,-124.2,133,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0.0164033097669961
"CM10_2019-06-26",62,"June",2019,"062619CM10","Bongo",2019-06-26,1899-12-31 15:50:00,45.48,-124.2,132,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0
"CM10_2020-06-26",63,"June",2020,"062620CM10","Bongo",2020-06-26,1899-12-31 13:01:00,45.48,-124.2,132,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0
"CM10_2021-06-26",65,"June",2021,"062621CM10","Bongo",2021-06-26,1899-12-31 12:19:00,45.48,-124.2,131,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0
"CM10_2022-06-26",67,"June",2022,"062622CM10","Bongo",2022-06-26,1899-12-31 13:29:00,45.48,-124.2,137,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0.0156962534520837
"CM10_2023-06-27",69,"June",2023,"062723CM10","Bongo",2023-06-27,1899-12-31 15:35:00,45.48,-124.2,132,"Cape Meares",10,"CM10","S","D",406.214757351651,5036.9748724515,0.105700147129792
"CM15_1999-06-21",4,"June",1999,"062199CM15","Meter",1999-06-21,1899-12-31 15:10:00,45.48,-124.32,175.5648,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0
"CM15_2000-06-19",7,"June",2000,"061900CM15D","Meter",2000-06-19,1899-12-31 17:48:00,45.48,-124.32,172,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0.00886336223364675
"CM15_2001-06-29",10,"June",2001,"062901CM15","Bongo",2001-06-29,1899-12-31 14:13:00,45.48,-124.32,177,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0
"CM15_2002-06-23",13,"June",2002,"062302CM15","Bongo",2002-06-23,1899-12-31 13:20:00,45.48,-124.32,174,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0
"CM15_2003-06-30",16,"June",2003,"063003CM15","Bongo",2003-06-30,1899-12-31 16:03:00,45.48,-124.32,173,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0.0386393963581792
"CM15_2004-06-27",20,"June",2004,"062704CM15","Bongo",2004-06-27,1899-12-31 15:47:00,45.48,-124.32,172,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0
"CM15_2005-06-20",23,"June",2005,"062005CM15","Bongo",2005-06-20,1899-12-31 15:42:00,45.48,-124.32,174,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0.00355177278436826
"CM15_2006-06-26",27,"June",2006,"062606CM15","Bongo",2006-06-26,1899-12-31 15:38:00,45.48,-124.32,173.9,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0
"CM15_2007-06-27",30,"June",2007,"062707CM15","Bongo",2007-06-27,1899-12-31 14:33:00,45.48,-124.32,171.3,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0.00170398949731305
"CM15_2008-06-28",33,"June",2008,"062808CM15","Bongo",2008-06-28,1899-12-31 15:34:00,45.48,-124.32,175.1,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0
"CM15_2009-06-29",36,"June",2009,"062909CM15","Bongo",2009-06-29,1899-12-31 15:42:00,45.48,-124.32,173,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0
"CM15_2010-06-27",39,"June",2010,"062710CM15","Bongo",2010-06-27,1899-12-31 16:11:00,45.48,-124.32,170,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0
"CM15_2011-06-26",42,"June",2011,"062611CM15","Bongo",2011-06-26,1899-12-31 16:46:00,45.48,-124.32,169,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0
"CM15_2012-06-27",46,"June",2012,"062712CM15","Bongo",2012-06-27,1899-12-31 15:34:00,45.48,-124.32,179,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0
"CM15_2013-06-26",48,"June",2013,"062613CM15","Bongo",2013-06-26,1899-12-31 17:02:00,45.48,-124.32,174,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0
"CM15_2014-06-26",49,"June",2014,"062614CM15","Bongo",2014-06-26,1899-12-31 14:40:00,45.48,-124.32,122,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0
"CM15_2015-06-27",52,"June",2015,"062715CM15","Bongo",2015-06-27,1899-12-31 17:07:00,45.48,-124.32,172,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0.00908819583038643
"CM15_2016-06-28",55,"June",2016,"062816CM15","Bongo",2016-06-28,1899-12-31 16:37:00,45.48,-124.32,173,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0
"CM15_2017-06-27",57,"June",2017,"062717CM15","Bongo",2017-06-27,1899-12-31 18:48:00,45.48,-124.32,175,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0.00830306868759384
"CM15_2018-06-26",60,"June",2018,"062618CM15","Bongo",2018-06-26,1899-12-31 16:54:00,45.48,-124.32,174,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0
"CM15_2019-06-26",62,"June",2019,"062619CM15","Bongo",2019-06-26,1899-12-31 18:11:00,45.48,-124.32,178,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0.0350518526152819
"CM15_2020-06-26",63,"June",2020,"062620CM15","Bongo",2020-06-26,1899-12-31 15:19:00,45.48,-124.32,173,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0
"CM15_2021-06-26",65,"June",2021,"062621CM15","Bongo",2021-06-26,1899-12-31 14:52:00,45.48,-124.32,175,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0
"CM15_2022-06-26",67,"June",2022,"062622CM15","Bongo",2022-06-26,1899-12-31 15:49:00,45.48,-124.32,175,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0.00196530919959787
"CM15_2023-06-27",69,"June",2023,"062723CM15","Bongo",2023-06-27,1899-12-31 17:51:00,45.48,-124.32,176,"Cape Meares",15,"CM15","S","D",396.83625727889,5037.12194947903,0
"CM20_1999-06-21",4,"June",1999,"062199CM20","Meter",1999-06-21,1899-12-31 17:38:00,45.48,-124.44,263.3472,"Cape Meares",20,"CM20","S","D",387.457764174212,5037.28303893129,0
"CM20_2001-06-29",10,"June",2001,"062901CM20","Bongo",2001-06-29,1899-12-31 16:24:00,45.48,-124.44,251,"Cape Meares",20,"CM20","S","D",387.457764174212,5037.28303893129,0
